"COD_PPREL_OD","COD_REGIONE","COD_ASL","COD_PPREL","COD_COMUNE","COMUNE","INDIRIZZO","TELEFONO","NOTE","LATITUDINE_P","LONGITUDINE_P","LATITUDINE_V","LONGITUDINE_V"
"PP042101012","042","101","012","022241","CEMBRA LISIGNAGO","P.za G.Marconi, 7","0461 220077","Ven dalle 7:30 alle 9:00. Struttura privata accreditata: Laboratorio Adige. Non si effettuano prelievi pediatrici (sotto i 6 anni). No punto cassa","46.175263","11.220606","46,175263","11,220606"
"PP042101013","042","101","013","022062","CLES","Via Degasperi, 31","0463 660257","L'accettazione viene effettuata presso gli sportelli del Centro Prelievi situati al piano interrato dell'Ospedale a cui si accede dall'ingresso principale in Via Degasperi, 31. L'ambulatorio prelievi e' situato nei locali adiacenti. Orario prelievi: da Lun a Ven dalle 7:30 alle 9:30. Prelievi pediatrici: bambini di eta' inferiore ai 3 anni: previo appuntamento telefonico al numero 0463-660257 dalle 10:00 alle 12:00 dal Lun al Ven - bambini di eta' dai 3 ai 6 anni: senza appuntamento, previa accettazione in corsia preferenziale  - bambini di eta' superiore ai 6 anni: previa accettazione in corsia preferenziale. In caso di prelievo urgente il genitore si puo' recare presso il punto prelievi di Cles senza appuntamento. Presenza di punto cassa aziendale","46.3608","11.0323","46,3608","11,0323"
"PP042101014","042","101","014","022228","COMANO TERME","Via C.Battisti 38 Ponte Arche","0465 701063","Punto prelievi al primo piano del Centro Pluriuso. Orario prelievi: Mer dalle 7:30 alle 8:30. Si effettuano prelievi a partire dai 3 anni di eta'. Presenza di punto cassa aziendale","46.035665","10.873565","46,035665","10,873565"
"PP042101015","042","101","015","022238","BORGO CHIESE","Via C.Battisti, 6","0465 621047","Punto prelievi presso APSP Rosa dei venti. Orario prelievi: Gio dalle 7:00 alle 9:00. Non si effettuano prelievi pediatrici. Presenza di punto cassa","45.888917","10.598207","45,888917","10,598207"
"PP042101016","042","101","016","022074","DENNO","Piazza Cesare Battisti","0461 655516","Orario prelievi: Gio dalle 8:00 alle 9:30. Prelievi pediatrici: i prelievi ematochimici si eseguono ai bambini di eta' superiore ai 6 anni, previa accettazione in corsia preferenziale. Per i bambini di eta' inferiore ai 6 anni si accettano solo tamponi o campioni colturali vari. Non presenza di punto cassa aziendale.","46.274747","11.049016","46,274747","11,049016"
"PP042101017","042","101","017","022087","FOLGARIA","Via C. Battisti, 24","0464 421083","Lun e Gio dalle 8:00 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni)  Presenza di punto cassa - no bancomat","45.916818","11.16877","45,916818","11,16877"
"PP042101018","042","101","018","022088","FONDO","Via Cesare Battisti","0463 831217","Orario prelievi: Lun dalle 7:30 alle 9:00, Ven dalle 8:00 alle 9:00. Solo pazienti in terapia anticoagulante su appuntamento Tel. 0463 660257. Prelievi pediatrici: i prelievi ematochimici si eseguono ai bambini di eta' superiore ai 6 anni, previa accettazione in corsia preferenziale. Per i bambini di eta' inferiore ai 6 anni si accettano solo tamponi o campioni colturali vari. Non presenza di punto cassa aziendale.","46.436885","11.138506","46,436885","11,138506"
"PP042101019","042","101","019","022102","LAVARONE","Frazione Gionghi Centro della Salute","0464 783495","Centro della Salute. Orario prelievi: primo e terzo Gio del mese dalle 8:00 alle 9:00. Non si effettuano prelievi pediatrici (sotto i 6 anni). Non presenza di punto cassa aziendale.","45.940547","11.269957","45,940547","11,269957"
"PP042101020","042","101","020","022103","LAVIS","Via Filzi, 27","0461 247044","Dal Lun al Ven dalle 7:30 alle 9:15, Sab dalle 7:30 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa","46.138426","11.11308","46,138426","11,11308"
"PP042101021","042","101","021","022104","LEVICO TERME","Via Slucca de Matteoni, 10","0461 727815","Orario prelievi: da Lun a Ven ore 7:30 - 8:45. Prelievi pediatrici: a partire dai 6 anni di eta'. Presenza di punto cassa aziendale","46.009087","11.305309","46,009087","11,305309"
"PP042101022","042","101","022","022109","LUSERNA","Ambulatorio Comunale","0464 789635","Orario prelievi: III Gio del mese dalle 7:30 alle 8:00. Non si effettuano prelievi pediatrici (sotto i 6 anni). Non presenza di punto cassa aziendale","45.922499","11.323669","45,922499","11,323669"
"PP042101023","042","101","023","022110","MALE'","Via 4 Novembre, 8","0463 909400","Orario prelievi: Mar, Mer e Ven dalle 8:00 alle 9:00, Lun dalle 8:00 alle 9:00 - solo pazienti in terapia anticoagulante. Prelievi pediatrici: i prelievi ematochimici sono eseguiti ai bambini di eta' superiore ai 6 anni, previa accettazione in corsia preferenziale. Per i bambini di eta' inferiore ai 6 anni si accettano solo tamponi o campioni colturali vari. Presenza di punto cassa aziendale","46.350194","10.910061","46,350194","10,910061"
"PP042101024","042","101","024","022116","MEZZOCORONA","Via Fratelli Grandi, 2","0461 231314","Mar e Gio dalle 7:30 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa - no bancomat","46.214878","11.118358","46,214878","11,118358"
"PP042101025","042","101","025","022117","MEZZOLOMBARDO","Via degli Alpini, 7","0461 611243","Presso il poliambulatorio. Orario prelievi: dal Lun al Ven dalle 7:30 alle 9:45. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa aziendale","46.213364","11.09642","46,213364","11,09642"
"PP042101026","042","101","026","022123","MORI","Via Giovanni XXIII, 18","0464 421083","Mar e Ven dalle 8:00 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni)  Presenza di punto cassa - no bancomat","45.851377","10.981276","45,851377","10,981276"
"PP042101027","042","101","027","022137","PELLIZZANO","Via dei Baschenis, 6","0463 750008","L'accettazione e il prelievo vengono effettuati presso la sede di Distretto al primo piano. Orario prelievi: Gio dalle 8:00 alle 9:00. Prelievi pediatrici: i prelievi ematochimici si eseguono ai bambini di eta' superiore ai 6 anni, previa accettazione in corsia preferenziale. Per i bambini di eta' inferiore ai 6 anni si accettano solo tamponi o campioni colturali vari  Presenza di punto cassa aziendale","46.310386","10.758474","46,310386","10,758474"
"PP042101028","042","101","028","022139","PERGINE VALSUGANA","Via S. Pietro 2,","0461 515252","L'accettazione viene effettuata presso la segreteria dell'ambulatorio prelievi, situata al piano rialzato della palazzina del Distretto Alta Valsugana. L'ambulatorio prelievi e' posto sul medesimo piano, nel locale adiacente allo sportello. Orario prelievi: da Lun a Ven, dalle 7:30 alle 9:45. Prelievi pediatrici: a partire dai 6 anni di eta'. Presenza di punto cassa aziendale","46.0633","11.2449","46,0633","11,2449"
"PP042101029","042","101","029","022143","PINZOLO","Via Genova, 82","0465 501424","Seminterrato della APSP Centro Residenziale A.Collini. Orario prelievi: Mar e Ven dalle 7:30 alle 8:30. Si effettuano prelievi a partire dai 3 anni di eta'. Non presenza di punto cassa aziendale.","46.159175","10.76201","46,159175","10,76201"
"PP042101030","042","101","030","022144","POMAROLO","Via III Novembre, 10","0464 421083","Mer e Sabato dalle 7:30 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa - no bancomat","45.926398","11.042569","45,926398","11,042569"
"PP042101031","042","101","031","022250","SEN JAN DI FASSA","Strada di Pre' de Gejia, 4","0462 761000","Orario prelievi: da Lun a Ven, dalle 7:30 alle 8:30. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa aziendale","46.423312","11.678813","46,423312","11,678813"
"PP042101032","042","101","032","022147","PREDAZZO","Via Degasperi, 12","0462 508800","Orario prelievi: da Lun a Ven, dalle 7:45 alle 8:30. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa aziendale","46.311858","11.599532","46,311858","11,599532"
"PP042101033","042","101","033","022153","RIVA DEL GARDA","Via Rosmini, 5/B","0464 582709","Piano terra del Centro Servizi Sanitari (ex Incompiuta). Orario prelievi: da Lun a Ven dalle 7:45 alle 9:15. Si effettuano prelievi per adulti e bambini anche in eta' inferiore ai 6 anni. Presenza di punto cassa aziendale","45.890707","10.841631","45,890707","10,841631"
"PP042101034","042","101","034","022135","RONZO-CHIENIS","Via Don Chiettini 2","0464 802159","Questo punto prelievi e' riservato ad utenti di eta' superiore ai 65 anni con difficolta' a raggiungere i principali centri di prelievo. Orario prelievi: tutti i Mar dalle 8:30 alle 9:00 - max 8 utenti al giorno. Per qualsiasi ulteriore informazione rivolgersi al proprio medico di base","45.889594","10.950924","45,889594","10,950924"
"PP042101035","042","101","035","022161","ROVERETO","Corso Verona, 4","0464 403156","Ospedale S. Maria del Carmine - l'accettazione viene effettuata presso gli sportelli del Centro prelievi dell'Ospedale situato al piano terra, con entrata dalla Porta Carraia in piazza Santa Maria. Gli ambulatori prelievi sono situati nei locali adiacenti. Orario prelievi: da Lun a Ven, dalle 7:30 alle 9:30. Presenza di punto cassa aziendale","45.883398","11.042005","45,883398","11,042005"
"PP042101036","042","101","036","022161","ROVERETO","Via Francesco Paoli, 15","0464 421083","Dal Lun al Sab dalle 7:30 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa","45.887996","11.03797","45,887996","11,03797"
"PP042101037","042","101","037","022172","SEGONZANO","Fraz. Scancio, 26","0461 220077","Mar dalle 7:30 alle 9:00. Struttura privata accreditata: Laboratorio Adige. Non si effettuano prelievi pediatrici (sotto i 6 anni). Non presenza di punto cassa","46.187708","11.258576","46,187708","11,258576"
"PP042101038","042","101","038","022179","SPIAZZO","Via S.Vigilio, 13","0465 803111","Punto prelievi presso APSP Casa di Riposo S.Vigilio. Orario prelievi: Lun e Mer dalle 7:00 alle 8:30. Si effettuano prelievi a partire dai 3 anni di eta'. Presenza di punto cassa","46.103980","10.736351","46,103980","10,736351"
"PP042101039","042","101","039","022183","STORO","Via Sette Pievi, 22","0465 331460","Orario prelievi: Lun e Gio dalle 7:30 alle 8:30. Si effettuano prelievi a partire dai 3 anni di eta'. Presenza di punto cassa aziendale","45.846926","10.574433","45,846926","10,574433"
"PP042101040","042","101","040","022240","CASTEL IVANO","Via Borgo Allocco, 2 Strigno","0461 762009","Punto prelievi presso A.P.S.P. Redenta Floriani. Struttura accreditata Accesso diretto il Mar e il Gio dalle 7:30 alle 9:00. Informazioni presso la segreteria della APSP (0461/762009) con orario: dalle 8:00 alle 12:00 e dalle 14:00 alle 17:00. Punto cassa presso ospedale di Borgo - nuovo edificio - piano terra. Apertura: dal Lun al Ven dalle 8:00 alle 16:00. Prelievi pediatrici: solo a partire dai 12 anni","46.06623","11.524071","46,06623","11,524071"
"PP042101041","042","101","041","022230","PREDAIA","VIA THOMAS A. EDISON, 20","0463 467617","Punto prelievi presso APSP Anaunia. Orario prelievi: Mer dalle 7:30 alle 9:30. Prelievi pediatrici: i prelievi ematochimici si eseguono ai bambini di eta' superiore ai 6 anni. Per i bambini di eta' inferiore ai 6 anni si accettano solo tamponi o campioni colturali vari. Presenza di punto cassa","46.324779","11.065975","46,324779","11,065975"
"PP042101042","042","101","042","022199","TIONE DI TRENTO","Via Ospedale 11","0465 331204","L' accettazione viene effettuata presso lo sportello dell'ufficio Cassa, al piano terra dell'Ospedale di Tione. L'ambulatorio prelievi e' situato nel locale adiacente. Orario prelievi: da Lun a Ven, dalle 7:30 alle 9:30. Si effettuano prelievi a partire dai 3 anni di eta'","46.0413","10.7244","46,0413","10,7244"
"PP042101043","042","101","043","022245","PRIMIERO SAN MARTINO DI CASTROZZA","Via Roma 1, Tonadico","0439 764444","Primo piano del Poliambulatorio di Tonadico. Orario prelievi: da Lun al Ven, dalle 7:30 alle 8:45. Prelievi pediatrici: si effettuano a partire dai 2 anni. Presenza di punto cassa aziendale","46.177751","11.831519","46,177751","11,831519"
"PP042101044","042","101","044","022205","TRENTO","Via Gocciadoro, 82","0461 903360","Su appuntamento, si eseguono prelievi microbiologici ambulatorialicutanei e da annessi cutanei per coltura di miceti e batteri congiuntivali, auricolari esterni, da ferite e piaghe,tampone vaginale, vagino-rettale, vulvare, cervicale, uretrale, balano-prepuziale Adulti: dal lunedì al venerdì dalle 7.30 alle 9.45, fino ad un massimo di 150 prelievi, Bambini: dal lunedì al venerdì dalle 8.00 alle 9.45, Prelievi microbiologici ambulatoriali (su appuntamento): dal lunedì al venerdì a partire dalle 10.30","46.055726","11.131951","46,055726","11,131951"
"PP042101045","042","101","045","022205","TRENTO","Viale Verona CSS","0461 902265","Centro per i Servizi Sanitari, palazzina B. Orario prelievi: da Lun a Ven, dalle 7:30 alle 9:45. Per adulti e bambini a partire dai 6 anni.  Presenza di punto cassa aziendale","46.0451","11.129","46,0451","11,129"
"PP042101046","042","101","046","022205","TRENTO","Largo Medaglie d'Oro 9 Santa Chiara","0461 903270","Laboratorio di microbiologia e Virologia In tale laboratorio vengono effettuati prelievi microbiologici particolari: squame ed annessi cutanei, emocoltura, tamponi congiuntivali ed auricolari (orecchio esterno), materiali biologici vari su specifica indicazione clinica. Le accettazioni ed i prelievi si effettuano senza prenotazione, ad eccezione di analisi particolari specificate nelle Carte dei servizi dei singoli Laboratori dipartimentali.","46.055754","11.132084","46,055754","11,132084"
"PP042101047","042","101","047","022205","TRENTO","Via Pranzelores, 68","0461 830180","Punto prelievi presso complesso Tridente. Dal Lun al Sab dalle 7:30 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa","46.089677","11.118724","46,089677","11,118724"
"PP042101048","042","101","048","022205","TRENTO","Via Gazzoletti, 15 Laboratorio Adige","0461 220077","Punto prelievi presso Palazzo Giulia. Dal Lun al Ven dalle 7:00 alle 10:00, Sab dalle 7:30 alle 10:00. Struttura privata accreditata: Laboratorio Adige. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa","46.07186","11.122106","46,07186","11,122106"
"PP042101049","042","101","049","022205","TRENTO","Via XXIV Maggio, 2/3","0461 231314","Dal Lun al Sab dalle 7:30 alle 9:30.  Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa","46.063952","11.121496","46,063952","11,121496"
"PP042101050","042","101","050","022205","TRENTO","Via  Malta, 16 Villa Igea","0461 904390","Punto prelievi presso Villa Igea. Dal Lun al Ven dalle ore 7:30 alle 9:45 per i prelievi e dalle 10:00 alle 12.45 per il ritiro referti. Non si effettuano prelievi pediatrici (sotto i 6 anni), arteriosi e curve da carico. Presenza di punto cassa aziendale","46.0617","11.1279","46,0617","11,1279"
"PP042101051","042","101","051","022205","TRENTO","Via della Resistenza, 63 Frazione Povo","0461 810688","Punto prelievi presso APSP Margherita Grazioli (Povo - TN). Ambulatorio, accettazione e cassa, ritiro referti - piano rialzato. Prelievi: Mar e Gio dalle 7:00 alle 9:00. Consegna referti: dal Mar al Ven dalle 8:00 alle 9:00 e dalle 17:30 alle 18:30. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa","46.068501","11.160766","46,068501","11,160766"
"PP042101052","042","101","052","022210","VALLARSA","Fraz. Raossi","0464 869145","Punto prelievi presso APSP Don Giuseppe Cumer (c/o casa Ex Enal). Mer dalle 7:00 alle 9:00. Struttura accreditata. No punto cassa","45.78228","11.115351","45,78228","11,115351"
"PP042101053","042","101","053","022092","GIOVO","Via S. Antonio, 2 Verla di Giovo","0461 220077","Mer dalle 7:30 alle 9:00. Struttura privata accreditata: Laboratorio Adige. Non si effettuano prelievi pediatrici (sotto i 6 anni). No punto cassa","46.157125","11.151591","46,157125","11,151591"
"PP042101054","042","101","054","022236","ALTOPIANO DELLA VIGOLANA","Via San Giorgio, 3 Vigolo Vattaro","0461 848416","Orario prelievi: martedì dalle 8.00 alle 9.00. Solo per pazienti in terapia anticoagulante e pazienti per emocromo in chemioterapia.Le accettazioni ed i prelievi si effettuano senza prenotazione, ad eccezione di analisi particolari specificate nelle Carte dei servizi dei singoli Laboratori dipartimentali.","46.005254","11.199321","46,005254","11,199321"
"PP042101055","042","101","055","022222","VILLA LAGARINA","Via Damiano Chiesa, 19","0464 421083","Dal Lun al Ven dalle 8:00 alle 9:30. Struttura privata accreditata: Laboratorio Druso. Non si effettuano prelievi pediatrici (sotto i 6 anni). Presenza di punto cassa","45.914035","11.032395","45,914035","11,032395"
"PP042101056","042","101","056","022035","CALLIANO","Via 3 Novembre 35/2","0464 834250","Solo per utenti di età superiore a 65 anni con difficoltà a raggiungere i principali centri di prelievo. Orari mercoledì 8.30 - 9.30, martedì 10.15 - 10.45 solo raccolta per screening sangue occulto","45.933211","11.094128","45,933211","11,094128"
"PP042101057","042","101","057","022161","ROVERETO","Via Bellini, 11","0464 491336","Presso Casa di Cura Solatrix. Orari: da lunedì a sabato dalle 7,30 alle 10,00","45.897836","11.045661","45,897836","11,045661"
"PP042101058","042","101","058","022224","VOLANO","Via 3 Novembre, 5","0464 461644","Solo per utenti di età superiore a 65 anni con difficoltà a raggiungere i principali centri di prelievo. Orari: venerdì 8.15 - 9.30","45.916594","11.063544","45,916594","11,063544"
"PP042101059","042","101","059","022040","CAPRIANA","Piazza Roma, 2","0462 816013","Ambulatorio Infermieristico e PP Orari: secondo e quarto giovedì del mese dalle 8,00 alle 9.00 l¿impegnativa viene inviata via fax da parte dell¿utente, dopodiché l¿accettazione viene effettuata presso lo sportello dell¿ufficio Cassa ¿ Ticket della sede distrettuale di Predazzo. L¿utente provvederà a consegnare l¿impegnativa originale all¿atto del prelievo.","46.263027","11.339394","46,263027","11,339394"
"PP042101060","042","101","060","022209","VALFLORIANA","localita Casatta di Valfloriana","0462 910123","Ambulatorio Infermieristico e PP Orari: Primo e terzo giovedì del mese dalle 8.00 alle 9.00 l¿impegnativa viene inviata via fax da parte dell¿utente, dopodiché l¿accettazione viene effettuata presso lo sportello dell¿ufficio Cassa ¿ Ticket della sede distrettuale di Predazzo. L¿utente provvederà a consegnare l¿impegnativa originale all¿atto del prelievo.","46.250290","11.342535","46,250290","11,342535"
"PP042101061","042","101","061","022205","TRENTO","Via di Coltura, 138 presso RSA ""Casa Famiglia"", Cadine","0461 220077","Prelievi e ritiro referti: lunedì mercoledì e venerdì 7.00 - 9.30. Non si accettano pazienti di età inferiore ai 6 anni. Le accettazioni ed i prelievi si effettuano senza prenotazione, ad eccezione di analisi particolari specificate nelle Carte dei servizi dei singoli Laboratori dipartimentali.","46.090670","11.069808","46,090670","11,069808"
