FULL_ID_FACILITIES (COMPOSITION OF: STR + ID_REGION + ID_ASL + ID_FACILITIES + COD_ASSISTANCE_TYPE),ID_FCAILITIES,ID_REGION,ID_ASL,TOWN,ID_TOWN,POSTAL_CODE,FACILITIES_TYPE,ID_ANTI_DRUG_CLINIC,ID_COMMUNITY_CENTER,COMMUNITY_CENTER_TYPE,ID_DIALYSIS_CENTER,ID_DIURNAL_CENTER,DIURNAL_CENTER_TYPE,ID_FAMILY_COUNSELLING,ID_HOSPICE,ID_HOSPITAL,ID_LABORATORY,ID_MENTAL HEALTH CENTER,ID_MULTIPLE_SCLEROSIS_CLINIC,ID_POLYCLINIC,ID_PROVINCE_HEALTHCARE_CENTER,ID_PSYCHIATRIC_RESIDENCE,ID_PUBLIC SOCIAL_SERVICE_COMPANY,ID_THERMAL_BATH,ID_TREATMENT_CENTER,FACILITIES_NAME_ITA,VAT_NUMBER (PARTITA_IVA),WEB_SITE,E_MAIL,ADDRESS,PHONE,FAX,ID_ASSISTANCE_TYPE,ASSISTANCE_TYPE_ITA,ASSISTANCE_TYPE,FACILITIES_RELATION_TYPE (INSIDE NHS -> TICKET VISIT OR OUTSIDE NHS -> FULL PRICE VISIT) SSN: SERVIZIO SANITARIO NAZIONALE -> NHS: National Health System,FACILITIES_RELATION_TYPE _ITA,UNIT_TYPE,UNIT_TYPE_ITA,LATITUDE_POINT,LONGITUDE_POINT,DECIMAL_DEGREE_LATITUDE_POINT,DECIMAL_DEGREE_LONGITUDE_POINT
STR042101052021S11,52021,42,101,TRENTO,22205,38121,COMMUNITY CENTER,,18,DISABLED PEOPLE,,,,,,,,,,,,,,,,CASA SERENA - ANFFAS -CENTRO RESIDENZIALE DISABILI - TRENTO,1785780220,www.anffas.tn.it,associazione@anffas.tn.it,VIA G B  TRENER  8,461407511,461407500,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,1926.54.00,1605.58.00,"11,114954","46,093598"
STR042101052028S01,52028,42,101,TRENTO,22205,38122,COMMUNITY CENTER,,19,DISABLED PEOPLE,,,,,,,,,,,,,,,,COOPERATIVA SOCIALE IRIFOR DEL TRENTINO ONLUS,2085130223,www.irifor.it,segreteria@irifor.it,VIA DELLA MALVASIA  15,4611959595,4611959596,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,"CLINIC, LABORATORY",AMBULATORIO E LABORATORIO,1342.58.00,2076.28.00,"46,077818","11,123928"
STR042101100900S11,100900,42,101,ISERA,22098,38060,COMMUNITY CENTER,,20,DISABLED PEOPLE,,,,,,,,,,,,,,,,VILLA MARIA - COOP SOC. -CENTRO RESIDENZIALE DISABILI - LENZIMA,1456720224,www.coopvillamaria.it,segreteria@coopvillamaria.it,PIAZZA S  MARTINO  2   LENZIMA,464439060,464421603,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,16553.16.00,14688.40.00,"10,992596","45,87862"
STR042101050808S05,50808,42,101,TRENTO,22205,38121,COMMUNITY CENTER,,21,GROUP TALK,,,,,,,,,,,,,,,,CASA DELL'AUTO AIUTO,,,,VIA DELLA COLLINA  10,461234972,,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,1207.36.00,2193.01.00,"46,069696","11,130921"
STR042101052025S11,52025,42,101,TRENTO,22205,38121,COMMUNITY CENTER,,22,MINOR,,,,,,,,,,,,,,,,COMUNITA' SOCIOSANIT. PER MINORI- GRUPPO APPARTAMENTO LOC. CAMPOTRENTINO,1437380221,www.appm.it,residenzialecampotrentino@appm.it,VIA ZAMBRA  11,461829896,461824666,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,15314.19.00,19669.07.00,"46,0916099","11,1179487"
STR042101052027S01,52027,42,101,TRENTO,22205,38123,COMMUNITY CENTER,,23,REHAB THERAPY,,,,,,,,,,,,,,,,ANFFAS TRENTINO ONLUS,1785780578,www.anffas.tn.it,ilpaesedioz@anffas.tn.it,VIA AOSTA  1,461407511,461407500,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,"CLINIC, LABORATORY",AMBULATORIO E LABORATORIO,990.59.00,2145.07.00,"46,056699","11,128047"
STR042101061001S11,61001,42,101,ALTAVALLE,22235,38030,COMMUNITY CENTER,,24,TEMPORARY,,,,,,,,,,,,,,,,COMUNITA' RESIDENZIALE TEMPORANEA VALLE APERTA,1493010225,www.associazionevalleaperta.it,amministrazione@associazionevalleaperta.it,VIA EUROPA 4   LOC  PONCIACH DI FAVER,461683318,461683318,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,3424.58.00,3879.37.00,"46,202738","11,232117"
STR042101091005S11,91005,42,101,ARCO,22006,38062,COMMUNITY CENTER,,25,THERAPY/REHAB,,,,,,,,,,,,,,,,COMUNITA' RESIDENZIALE - APP. SEMI PROTETTO - BOLOGNANO,1227430228,www.arcobalenocoop.org,arcobaleno@pop.ftcoop.it,VIALE ROVERETO  32   BOLOGNANO,464531828,464550953,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,15261.06.00,14963.03.00,"45,912966","10,897183"
STR042101100202S05,100202,42,101,ALA,22001,38061,COMMUNITY CENTER,,26,THERAPY/REHAB,,,,,,,,,,,,,,,,COMUNITA' TERAPEUTICA RESIDENZIALE ALA,1429410226,www.apss.tn.it,,PIAZZA GIOVANNI XXIII  13,464675851,,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,12647.52.00,24.15.00,"45,756172","11,000795"
STR042101010103S01,10103,42,101,CAVALESE,22050,38033,DIALYSIS CENTER,,,,1,,,,,,,,,,,,,,,CENTRO DIALISI CAVALESE,1429410226,www.apss.tn.it,Carlo.Rovati@apss.tn.it,VIA DOSSI  17,462242109,462242143,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,94.04.00,86.51.00,"46,2884","11,4551"
STR042101030102S01,30102,42,101,BORGO VALSUGANA,22022,38051,DIALYSIS CENTER,,,,2,,,,,,,,,,,,,,,CENTRO DIALISI BORGO,1429410226,www.apss.tn.it,,VIA VICENZA  9,461755264,,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,55.28.00,88.26.00,"46,0568","11,4646"
STR042101050102S01,50102,42,101,TRENTO,22205,38122,DIALYSIS CENTER,,,,3,,,,,,,,,,,,,,,CENTRO DIALISI TRENTO,1429410226,www.apss.tn.it,,LARGO MEDAGLIE D ORO  9,461903104,461903323,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,55.24.00,33.22.00,"46,0564","11,1342"
STR042101060203S01,60203,42,101,CLES,22062,38023,DIALYSIS CENTER,,,,4,,,,,,,,,,,,,,,CENTRO DIALISI CLES,1429410226,www.apss.tn.it,,VIALE DEGASPERI  31,463660263,463660128,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,106.08.00,16.23,"46,3608","11,0323"
STR042101080105S01,80105,42,101,TIONE DI TRENTO,22199,38081,DIALYSIS CENTER,,,,5,,,,,,,,,,,,,,,CENTRO DIALISI TIONE,1429410226,www.apss.tn.it,,VIA OSPEDALE  11,465331370,465331261,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,52.53.00,130.44.00,"46,0413","10,7244"
STR042101091202S01,91202,42,101,ARCO,22006,38062,DIALYSIS CENTER,,,,6,,,,,,,,,,,,,,,CENTRO DIALISI ARCO,1429410226,www.apss.tn.it,,VIA CAPITELLI  48,464582294,464582209,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,198.12.00,155.41.00,"45,9192","10,8741"
STR042101100103S01,100103,42,101,ROVERETO,22161,38068,DIALYSIS CENTER,,,,7,,,,,,,,,,,,,,,CENTRO DIALISI ROVERETO,1429410226,www.apss.tn.it,,CORSO VERONA  4,464403541,464403209,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,191.58.00,17.47,"45,8818","11,0407"
STR042101081706S11,81706,42,101,VALDAONE,22232,38080,DIURNAL CENTER,,,,,1,ADULT,,,,,,,,,,,,,CENTRO DIURNO PER ADULTI BERSONE,1182560225,,graziascaglia@libero.it,VIA CHIESA  4   LOC  BERSONE,3299060064,465296884,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,15785.57.00,10562.36.00,"45,944457","10,633156"
STR042101052020S09,52020,42,101,TRENTO,22205,38122,DIURNAL CENTER,,,,,2,ALZHEIMER,,,,,,,,,,,,,CENTRO DIURNO ALZHEIMER - TRENTO,260880224,http://www.civicatnapsp.it/,segreteria@civicatnapsp.it,VIA S GIOVANNI BOSCO  10,461385000,461385001,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,1123.36.00,2120.23.00,"46,064656","11,126563"
STR042101103602S09,103602,42,101,ROVERETO,22161,38068,DIURNAL CENTER,,,,,3,ALZHEIMER,,,,,,,,,,,,,CENTRO DIURNO ALZHEIMER - ROVERETO,427050232,,casasacrafamiglia.rovereto@pssf,VIA SAIBANTI  6/B,464430021,464438374,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,15706.31.00,828.22.00,"45,939691","11,049042"
STR042101041205S09,41205,42,101,PERGINE VALSUGANA,22139,38057,DIURNAL CENTER,,,,,4,DEMENTIA,,,,,,,,,,,,,CENTRO DIURNO PRESA IN CARICO DEMENZE - APSP,358720225,www.apsp-pergine.it,amministrazione@apsp-pergine.it,VIA MARCONI  4,461531002,461532971,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,4059.20.00,1128.48.00,"11,2429","46,064968"
STR042101052024S10,52024,42,101,TRENTO,22205,38121,DIURNAL CENTER,,,,,5,DISABLE,,,,,,,,,,,,,CENTRO DIURNO SOCIO RIAB. PER DISABILI FRANCA MARTINI - A.T.S.M. - TRENTO,96022060220,www.atsm-cfm.org,atsmtn@libero.it;info@atsm.191.tn.it,VIA T  TARAMELLI  8/C    VIA DEGASPERI  126/2,4611788701,461238113,S10,ASSISTENZA AI DISABILI FISICI,DISABLE PERSON ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,1067.20.00,1960.46.00,"46,06128","11,116986"
STR042101030403S05,30403,42,101,BORGO VALSUGANA,22022,38051,DIURNAL CENTER,,,,,6,PSYCHIATRIC,,,,,,,,,,,,,CENTRO DIURNO PSICHIATRICO BORGO/TONADICO,1429410226,www.apss.tn.it,psichiatriapergine@apss.tn.it,VIALE VICENZA  9,461755208,461755206,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,55.28.00,88.26.00,"46,0568","11,4646"
STR042101040105S05,40105,42,101,PERGINE VALSUGANA,22139,38057,DIURNAL CENTER,,,,,7,PSYCHIATRIC,,,,,,,,,,,,,CENTRO DIURNO PSICHIATRICO PERGINE,1429410226,www.apss.tn.it,psichiatriapergine@apss.tn.it,VIA SAN PIETRO 14,461515466,461515291,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,10162.57.00,39204.47.00,"46,0607017","11,2351627"
STR042101050403S05,50403,42,101,MEZZOCORONA,22116,38016,DIURNAL CENTER,,,,,8,PSYCHIATRIC,,,,,,,,,,,,,CENTRO DIURNO PSICHIATRICO MEZZOCORONA,1429410226,www.apss.tn.it,angelo.mercurio@tn.apss.tn.it,VIA CANE   13,461604396,461607440,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,3635.11.00,2028.06.00,"46,215351","11,121026"
STR042101050803S05,50803,42,101,TRENTO,22205,38122,DIURNAL CENTER,,,,,9,PSYCHIATRIC,,,,,,,,,,,,,CENTRO DIURNO PSICHIATRICO TRENTO,1429410226,www.apss.tn.it,francesca.munerati@apss.tn.it,VIA PETRARCA  1,461902850,461902854,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,1252.50.00,2074.50.00,"46,07241","11,12383"
